id, country, Gender, Age, Language, Nationality, PoliticalSpectrum, SocioeconomicStatus, EU, NATORussia, 
----------------------------------,,,,,,,,,,
id1, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Center, UpperClass, antiEU, AntiNATOProRussia, 
id2, Lithuania, Male, NotApplicable, NationalLanguage, Lithuanian, NotApplicable, NotApplicable, proEU, AntiNATOProRussia, 
id3, Lithuania, Male, Young, NationalLanguage, Lithuanian, NotApplicable, LowerClass, proEU, NotApplicable, 
id4, Lithuania, Female, NotApplicable, Both, Lithuanian, NotApplicable, NotApplicable, antiEU, ProNATOAntiRussia, 
id5, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Right, NotApplicable, proEU, ProNATOAntiRussia, 
id6, Lithuania, Female, NotApplicable, Russian, Lithuanian, NotApplicable, NotApplicable, antiEU, AntiNATOProRussia, 
id7, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Right, UpperClass, proEU, NotApplicable, 
id8, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Right, UpperClass, antiEU, ProNATOAntiRussia, 
id9, Lithuania, Male, MiddleAged, Both, Lithuanian, Right, MiddleClass, antiEU, AntiNATOProRussia, 
id10, Lithuania, Female, Old, NationalLanguage, Lithuanian, Left, UpperClass, proEU, NotApplicable, 
id11, Lithuania, Female, Old, Both, Lithuanian, NotApplicable, LowerClass, proEU, AntiNATOProRussia, 
id12, Lithuania, Male, MiddleAged, Both, Lithuanian, Left, UpperClass, antiEU, ProNATOAntiRussia, 
id13, Lithuania, Female, Old, NationalLanguage, Russian, NotApplicable, MiddleClass, proEU, ProNATOAntiRussia, 
id14, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Right, UpperClass, antiEU, NotApplicable, 
id15, Lithuania, Female, MiddleAged, Both, Lithuanian, NotApplicable, UpperClass, antiEU, NotApplicable, 
id16, Lithuania, Male, MiddleAged, Both, Lithuanian, Center, UpperClass, proEU, AntiNATOProRussia, 
id17, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Left, UpperClass, antiEU, AntiNATOProRussia, 
id18, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Center, LowerClass, proEU, NotApplicable, 
id19, Lithuania, Female, MiddleAged, Both, Lithuanian, NotApplicable, LowerClass, proEU, AntiNATOProRussia, 
id20, Lithuania, Female, MiddleAged, Both, Lithuanian, NotApplicable, UpperClass, antiEU, NotApplicable, 
id21, Lithuania, Male, NotApplicable, Both, Lithuanian, Right, LowerClass, proEU, ProNATOAntiRussia, 
id22, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, MiddleClass, antiEU, ProNATOAntiRussia, 
id23, Lithuania, Male, NotApplicable, NationalLanguage, Lithuanian, Left, MiddleClass, antiEU, AntiNATOProRussia, 
id24, Lithuania, Female, Young, NationalLanguage, Lithuanian, NotApplicable, UpperClass, proEU, AntiNATOProRussia, 
id25, Lithuania, Male, Old, Both, Lithuanian, Right, MiddleClass, antiEU, AntiNATOProRussia, 
id26, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, UpperClass, antiEU, ProNATOAntiRussia, 
id27, Lithuania, Male, MiddleAged, Both, Lithuanian, NotApplicable, UpperClass, proEU, AntiNATOProRussia, 
id28, Lithuania, Male, Young, Both, Lithuanian, Center, MiddleClass, proEU, NotApplicable, 
id29, Lithuania, Female, Young, Both, Lithuanian, NotApplicable, UpperClass, proEU, NotApplicable, 
id30, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Center, UpperClass, proEU, NotApplicable, 
id31, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Left, LowerClass, proEU, AntiNATOProRussia, 
id32, Lithuania, Male, MiddleAged, Both, Lithuanian, Left, MiddleClass, antiEU, AntiNATOProRussia, 
id33, Lithuania, Male, MiddleAged, Both, Lithuanian, NotApplicable, NotApplicable, NotApplicable, NotApplicable, 
id34, Lithuania, Female, MiddleAged, Russian, Lithuanian, Right, MiddleClass, antiEU, AntiNATOProRussia, 
id35, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Left, UpperClass, proEU, NotApplicable, 
id36, Lithuania, Female, MiddleAged, Both, Lithuanian, Left, MiddleClass, antiEU, ProNATOAntiRussia, 
id37, Lithuania, Male, Old, NationalLanguage, Lithuanian, Center, UpperClass, proEU, ProNATOAntiRussia, 
id38, Lithuania, Female, MiddleAged, Both, Lithuanian, NotApplicable, NotApplicable, proEU, ProNATOAntiRussia, 
id39, Lithuania, Male, NotApplicable, NationalLanguage, Lithuanian, Right, MiddleClass, antiEU, AntiNATOProRussia, 
id40, Lithuania, Female, Young, NationalLanguage, Lithuanian, NotApplicable, UpperClass, proEU, AntiNATOProRussia, 
id41, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Center, NotApplicable, proEU, NotApplicable, 
id42, Lithuania, Female, Old, NationalLanguage, Lithuanian, Left, UpperClass, proEU, NotApplicable, 
id43, Lithuania, Male, Old, NationalLanguage, Lithuanian, Center, MiddleClass, antiEU, AntiNATOProRussia, 
id44, Lithuania, Female, MiddleAged, Both, Lithuanian, Center, LowerClass, proEU, AntiNATOProRussia, 
id45, Lithuania, Male, MiddleAged, Both, Lithuanian, NotApplicable, MiddleClass, antiEU, ProNATOAntiRussia, 
id46, Lithuania, Male, Old, NationalLanguage, Lithuanian, Right, LowerClass, proEU, NotApplicable, 
id47, Lithuania, Male, Young, Both, Lithuanian, Center, LowerClass, proEU, NotApplicable, 
id48, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, LowerClass, proEU, ProNATOAntiRussia, 
id49, Lithuania, Female, MiddleAged, Both, Lithuanian, Center, LowerClass, antiEU, AntiNATOProRussia, 
id50, Lithuania, Male, MiddleAged, Russian, Lithuanian, Center, NotApplicable, antiEU, AntiNATOProRussia, 
id51, Lithuania, Male, MiddleAged, Both, Lithuanian, NotApplicable, LowerClass, proEU, AntiNATOProRussia, 
id52, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Left, NotApplicable, antiEU, ProNATOAntiRussia, 
id53, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Right, NotApplicable, proEU, ProNATOAntiRussia, 
id54, Lithuania, Male, MiddleAged, Russian, Lithuanian, Center, NotApplicable, antiEU, NotApplicable, 
id55, Lithuania, Female, Old, Both, Lithuanian, Right, MiddleClass, NotApplicable, NotApplicable, 
id56, Lithuania, Female, MiddleAged, Both, Lithuanian, Right, MiddleClass, proEU, NotApplicable, 
id57, Lithuania, Female, MiddleAged, Both, Lithuanian, Right, LowerClass, proEU, AntiNATOProRussia, 
id58, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Center, MiddleClass, NotApplicable, ProNATOAntiRussia, 
id59, Lithuania, Male, Young, Both, Lithuanian, Left, MiddleClass, proEU, NotApplicable, 
id60, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Center, LowerClass, proEU, ProNATOAntiRussia, 
id61, Lithuania, Female, NotApplicable, NationalLanguage, Lithuanian, NotApplicable, UpperClass, antiEU, ProNATOAntiRussia, 
id62, Lithuania, Female, NotApplicable, Russian, Lithuanian, NotApplicable, NotApplicable, proEU, AntiNATOProRussia, 
id63, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Right, MiddleClass, proEU, AntiNATOProRussia, 
id64, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Right, NotApplicable, antiEU, AntiNATOProRussia, 
id65, Lithuania, Female, MiddleAged, Both, Lithuanian, NotApplicable, UpperClass, NotApplicable, AntiNATOProRussia, 
id66, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Left, MiddleClass, proEU, ProNATOAntiRussia, 
id67, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, LowerClass, proEU, AntiNATOProRussia, 
id68, Lithuania, Female, NotApplicable, NationalLanguage, Lithuanian, Right, NotApplicable, antiEU, ProNATOAntiRussia, 
id69, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Center, NotApplicable, proEU, NotApplicable, 
id70, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Center, LowerClass, antiEU, ProNATOAntiRussia, 
id71, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Center, MiddleClass, proEU, AntiNATOProRussia, 
id72, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Left, LowerClass, antiEU, NotApplicable, 
id73, Lithuania, Female, Old, Both, Lithuanian, Right, UpperClass, antiEU, ProNATOAntiRussia, 
